,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5
2020-01-01,101.76405234596766,100.16092816829823,99.49464168273559,99.90975615033425,101.76126612741987
2020-01-02,102.17126853695663,99.96996785954181,98.68297281115062,100.64075480018246,102.52864342256845
2020-01-03,103.17125755097052,99.57523692726902,98.18213935429529,100.57484680513068,101.88781131787997
2020-01-04,105.48321524496085,99.3086406235731,97.1493809661679,100.92501748009772,101.49004874643322
2020-01-05,107.45317545953522,98.18842790421037,99.5753956880794,101.59441082304458,101.60428343941797
2020-01-06,106.40305934454437,98.4637892058482,97.33960777224347,100.472182098934,100.93822160958766
2020-01-07,107.41398248726976,97.48592206702898,97.88861146808628,100.44109976619112,101.0063719245061
2020-01-08,107.25140368205565,98.30639406521556,96.63118106,102.02692933128863,101.79180165213666
2020-01-09,107.14070001464255,98.06116033037306,96.53035271180944,101.21530454725574,101.75541847969825
2020-01-10,107.58061812386894,98.10969568368445,95.57663095192072,100.64198072422363,102.09733270480163
2020-01-11,107.7355810880915,98.59419744206782,94.45109286446576,100.3323141281658,103.00241692114153
2020-01-12,109.3023511014282,99.22846817592536,93.37416499743247,100.60223220634539,102.72211463523284
2020-01-13,110.1341832277827,97.66996262672588,95.01286866430968,101.13031129442301,103.014657560946
2020-01-14,110.26818901338935,97.46787988354319,94.88651254928193,102.4120486463229,102.6959532930669
2020-01-15,110.75762896183403,98.32577160833037,94.15996444042835,102.92359502017034,102.66665529822671
2020-01-16,111.12719873528812,96.65609595864765,94.68329324817333,102.85972771227631,102.33326559632499
2020-01-17,112.78752695617833,97.03042614657461,94.69309232003332,104.15490359323647,101.79205580442652
2020-01-18,112.55613402413064,94.84184256277597,95.3749145525021,104.8882697495374,101.96888067075798
2020-01-19,112.9085109259871,93.87207823194149,93.63503132568306,103.31947738393717,102.54658058779043
2020-01-20,111.94416414485922,93.90834153378633,93.91931093673205,105.92970784666676,102.6966107944124
2020-01-21,109.08624103482036,92.35254785725601,94.6450206033823,107.80458040229924,103.20878647771681
2020-01-22,109.79924899129084,91.44240358159786,93.07240055841149,107.62323776526821,102.44717604229643
2020-01-23,110.74839344564742,90.09652227401777,93.48954666881384,108.02995685260117,101.21398333086044
2020-01-24,109.92645760883173,91.58143453032004,95.07529913193086,109.46066103879532,101.63608967243651
2020-01-25,112.42151846339394,91.7318366646923,95.06117312602225,109.27216891279528,102.33522542001087
2020-01-26,110.78649848799962,92.25222245578678,95.84201124588483,110.07024015483367,102.38624696617407
2020-01-27,110.8371927470779,92.04679972670588,96.48469945228341,111.28605233339239,103.76645020951212
2020-01-28,110.62972342243339,91.72147711275676,95.80206470643255,110.15669264261822,104.70833703077855
2020-01-29,112.32543282795469,90.23882310977957,95.84016205923274,109.49318379397836,107.51511818107973
2020-01-30,113.97589642604069,89.97547250824128,94.33835178888337,110.50206318448626,107.2992186699396
2020-01-31,114.15249914346781,89.29031629255032,93.91259994210768,111.01127268918852,106.2274617160352
2020-02-01,114.58418111041759,90.0563592781004,94.16211442713201,112.03679100785196,105.44123319000609
2020-02-02,113.56691908148065,91.08399407486665,94.84300114146856,111.88826605833111,104.84496532930221
2020-02-03,111.31738955924395,92.4198125452635,94.86634401969837,111.5649031389762,105.34406026822451
2020-02-04,110.93010283665461,93.20773944956458,95.54936626202185,109.33512294394427,103.07066321957556
2020-02-05,111.1035409088657,92.64974764783285,94.49554636507852,108.08214196868424,104.42970249881026
2020-02-06,112.47043741862599,91.61587190633077,94.3994469698495,108.13301201193215,104.1798057805905
2020-02-07,113.82275929398725,92.31825706477973,94.41764660220903,109.0246305692088,103.92269673140717
2020-02-08,113.38189322292793,92.64718038391715,96.1639871290844,109.60374582098788,102.80101420628785
2020-02-09,113.03913664106062,91.00867937535946,95.95803593338135,109.46318781373876,102.68358918091434
2020-02-10,111.85386142212454,91.33219866035543,95.47918936858134,109.1656979934867,102.69718424955458
2020-02-11,110.26551652650308,92.07611752275801,95.49957534402743,109.40278365535596,102.57195024257393
2020-02-12,108.38408888747264,92.13037391750386,94.62182590724677,109.48834886460051,102.91972993387203
2020-02-13,110.49841902583562,91.9598832784549,94.80421311873877,111.02616255795981,102.31288222869246
2020-02-14,109.93526142246937,91.21717067194268,94.45812539324318,111.18875012584213,101.39634730475726
